inst_23673,app_3486,machine_4959
inst_74024,app_6123,machine_3949
inst_31055,app_7733,machine_3455
inst_60004,app_702,machine_2057
inst_88826,app_1443,machine_4851
inst_4262,app_7990,machine_5555
inst_98249,app_812,machine_3222
inst_25830,app_6416,machine_3233
inst_19434,app_6726,machine_997
inst_11900,app_5526,machine_4029
inst_94907,app_4481,machine_3800
inst_27504,app_1887,machine_4760
inst_97772,app_2161,machine_232
inst_69257,app_4568,machine_2016
inst_82671,app_1998,machine_5633
inst_9625,app_7446,machine_3225
inst_80462,app_1635,machine_3825
inst_86419,app_5731,machine_3584
inst_72880,app_7924,machine_4855
inst_81027,app_3634,machine_3360
inst_64704,app_1728,machine_5702
inst_95897,app_8653,machine_14
inst_34167,app_7338,machine_3191
inst_959,app_6583,machine_1767
inst_8132,app_3359,machine_4794
inst_21056,app_3425,machine_406
inst_82491,app_1889,machine_5079
inst_4410,app_1176,machine_1744
inst_35436,app_1509,machine_2521
inst_31295,app_131,machine_1576
inst_54473,app_3487,machine_2705
inst_596,app_7778,machine_1223
inst_46861,app_7559,machine_805
inst_55671,app_9010,machine_3321
inst_39291,app_8842,machine_2359
inst_71616,app_1904,machine_3259
inst_88902,app_2486,machine_5287
inst_39933,app_832,machine_350
inst_1739,app_2000,machine_5777
inst_38282,app_5820,machine_4450
inst_40645,app_3886,machine_4465
inst_9813,app_4095,machine_4389
inst_26660,app_5715,machine_5382
inst_20362,app_5453,machine_1593
inst_27128,app_7889,machine_3240
inst_74778,app_3409,machine_270
inst_66338,app_5876,machine_5099
inst_31959,app_4647,machine_5548
inst_76137,app_3091,machine_5777
inst_36275,app_4091,machine_4082
inst_71278,app_4812,machine_2740
inst_32900,app_2485,machine_5327
inst_36545,app_782,machine_2605
inst_39102,app_3783,machine_3523
inst_2691,app_8199,machine_499
inst_42839,app_5997,machine_1776
inst_62164,app_7486,machine_208
inst_44378,app_982,machine_5787
inst_93534,app_3894,machine_3360
inst_5770,app_7889,machine_4234
inst_13042,app_1046,machine_248
inst_84786,app_5982,machine_2263
inst_36291,app_8717,machine_506
inst_10605,app_6381,machine_4032
inst_25162,app_4983,machine_2376
inst_32519,app_8684,machine_3529
inst_40341,app_3634,machine_3233
inst_34404,app_2127,machine_5564
inst_36802,app_3303,machine_4049
inst_94467,app_275,machine_4400
inst_75144,app_7309,machine_4151
inst_92075,app_9072,machine_3725
inst_84824,app_5336,machine_3334
inst_56218,app_1153,machine_3871
inst_67877,app_5139,machine_2371
inst_81169,app_3343,machine_5252
inst_8419,app_3283,machine_5612
inst_90872,app_5022,machine_3454
inst_79982,app_6911,machine_4432
inst_53981,app_1884,machine_1552
inst_79203,app_1637,machine_4502
inst_67815,app_8767,machine_5883
inst_51697,app_3169,machine_4396
inst_1336,app_6568,machine_4378
inst_98267,app_147,machine_5856
inst_89016,app_8375,machine_5130
inst_50635,app_6691,machine_4440
inst_85746,app_2770,machine_4270
inst_44177,app_5691,machine_5254
inst_23947,app_2767,machine_3261
inst_74807,app_3637,machine_3152
inst_57864,app_9047,machine_5651
inst_61405,app_4221,machine_3360
inst_11220,app_7778,machine_3677
inst_63314,app_9207,machine_791
inst_19072,app_5033,machine_1900
inst_65560,app_8126,machine_4632
inst_22962,app_6308,machine_733
inst_13238,app_3169,machine_5439
inst_80276,app_4039,machine_5933
inst_95065,app_4068,machine_381
inst_92940,app_2767,machine_1981
inst_90982,app_4749,machine_4145
inst_50818,app_4825,machine_3261
inst_23424,app_3343,machine_3485
inst_85464,app_1152,machine_3183
inst_32620,app_4814,machine_5918
