inst_157,app_50
inst_1837,app_3654
inst_21911,app_5585
inst_93612,app_618
inst_98331,app_3636
inst_89601,app_702
inst_75314,app_1784
inst_72332,app_774
inst_43739,app_4653
inst_30035,app_7009
inst_57231,app_3271
inst_76243,app_565
inst_81730,app_958
inst_82622,app_1635
inst_5006,app_8331
inst_51947,app_143
inst_81483,app_5906
inst_54492,app_638
inst_75473,app_3271
inst_63102,app_4815
inst_94439,app_5598
inst_56799,app_4996
inst_22459,app_4825
inst_7948,app_5898
inst_55477,app_3416
inst_69439,app_1152
inst_92709,app_1945
inst_44915,app_4698
inst_46232,app_183
inst_13509,app_7439
inst_55025,app_6198
inst_46590,app_7935
inst_85956,app_2343
inst_68553,app_4008
inst_26865,app_4825
inst_55411,app_6907
inst_76516,app_2657
inst_66424,app_7733
inst_52551,app_1173
inst_89271,app_8548
inst_71221,app_2649
inst_27499,app_3985
inst_41431,app_3355
inst_40159,app_9269
inst_34505,app_483
inst_14249,app_8643
inst_82578,app_4730
inst_19864,app_1646
inst_67673,app_3014
inst_6016,app_7963
inst_94250,app_6230
inst_79819,app_614
inst_16605,app_7268
inst_6273,app_3048
inst_69345,app_7001
inst_25818,app_7507
inst_81273,app_782
inst_44110,app_3191
inst_41858,app_1848
inst_97147,app_7889
inst_50590,app_4580
inst_6152,app_2013
inst_32403,app_2616
inst_83557,app_7889
inst_65562,app_1051
inst_71834,app_4457
inst_77588,app_6726
inst_78901,app_3228
inst_44038,app_5139
inst_25998,app_8931
inst_13710,app_1222
inst_65147,app_7889
inst_48348,app_9327
inst_7143,app_128
inst_74305,app_147
inst_95634,app_3864
inst_63602,app_147
inst_54219,app_9314
inst_53375,app_4048
inst_11093,app_3389
inst_46049,app_80
inst_72767,app_8221
inst_16919,app_2300
inst_33338,app_8138
inst_52262,app_6450
inst_96934,app_5305
inst_93352,app_7270
inst_83812,app_4825
inst_54119,app_952
inst_74263,app_8011
inst_66045,app_4349
inst_78534,app_4698
inst_27608,app_1592
inst_53337,app_8643
inst_71248,app_2185
inst_72999,app_402
inst_61894,app_8291
inst_61154,app_8148
inst_11794,app_3327
inst_5678,app_1997
inst_40627,app_3327
inst_2589,app_8816
inst_45671,app_792
inst_75646,app_6804
inst_87722,app_6381
inst_82950,app_1723
inst_8874,app_2263
inst_9796,app_6173
inst_21226,app_3994
inst_31775,app_8129
inst_83209,app_1541
inst_82632,app_4778
inst_28239,app_5914
inst_58333,app_8717
inst_15332,app_3283
inst_99527,app_401
inst_85301,app_5313
inst_56082,app_5264
inst_47327,app_1391
inst_52883,app_4698
inst_415,app_1222
inst_25155,app_2767
inst_40024,app_8628
inst_53499,app_6123
inst_9213,app_2957
inst_80076,app_4595
inst_45803,app_2586
inst_77574,app_8483
inst_42435,app_3946
inst_73481,app_6483
inst_10082,app_6683
inst_77907,app_1952
inst_29564,app_2485
inst_53295,app_7700
inst_94504,app_4730
inst_30784,app_341
inst_35972,app_4864
inst_77374,app_6911
inst_45840,app_6687
inst_55583,app_7599
inst_3870,app_7364
inst_62760,app_4287
inst_9291,app_6381
inst_50598,app_7889
inst_29842,app_1906
inst_28087,app_6315
inst_94299,app_703
inst_96540,app_9108
inst_58799,app_4998
inst_34827,app_3864
inst_80624,app_725
inst_83520,app_5175
inst_11024,app_8529
inst_95539,app_854
inst_35687,app_5550
inst_61501,app_4663
inst_25456,app_3526
inst_19857,app_7919
inst_71098,app_3973
inst_52889,app_2489
inst_93146,app_2660
inst_17861,app_7001
inst_2956,app_3890
inst_52753,app_1303
inst_22144,app_4998
inst_48776,app_3327
inst_9414,app_5066
inst_2842,app_6790
inst_77571,app_6421
inst_79998,app_2728
inst_57941,app_7960
inst_55691,app_310
inst_65935,app_7067
inst_40769,app_2637
inst_38812,app_4231
inst_65055,app_3327
inst_65879,app_4718
inst_62378,app_1222
inst_96180,app_2517
inst_63156,app_1540
inst_19768,app_7749
inst_94833,app_8470
inst_55921,app_3189
inst_21731,app_3152
inst_6809,app_9269
inst_69411,app_4169
inst_31204,app_4454
inst_37681,app_8270
inst_78604,app_1017
inst_99774,app_1201
inst_74451,app_358
inst_75954,app_5503
inst_14576,app_424
inst_62883,app_6188
inst_4500,app_3926
inst_95021,app_8221
inst_24877,app_262
inst_2545,app_5232
inst_53480,app_183
inst_94123,app_2940
inst_95698,app_6659
inst_65432,app_580
inst_88056,app_473
inst_2835,app_615
inst_10265,app_147
inst_41450,app_3820
inst_50071,app_5921
inst_60013,app_6896
inst_57378,app_9269
inst_53901,app_5429
inst_3920,app_9328
inst_92531,app_5689
inst_66868,app_5063
inst_58441,app_1443
inst_19425,app_8360
inst_86653,app_3068
inst_15202,app_5820
inst_48685,app_5602
inst_309,app_4640
inst_98271,app_1832
inst_97942,app_4825
inst_59532,app_7256
inst_85658,app_3657
inst_22884,app_5577
inst_89987,app_1541
inst_36311,app_6744
inst_54079,app_3321
inst_9678,app_3327
inst_41722,app_3343
inst_18429,app_3964
inst_14780,app_1884
inst_86829,app_445
inst_34085,app_7394
inst_42063,app_5511
inst_71058,app_5734
inst_2257,app_1900
inst_45220,app_936
inst_19589,app_1184
inst_44273,app_2649
inst_83887,app_4718
inst_23271,app_7504
inst_98341,app_2767
inst_67337,app_8076
inst_58380,app_3286
inst_80991,app_7889
inst_74389,app_5568
inst_90975,app_6911
inst_86939,app_8282
inst_78790,app_7309
inst_58819,app_5607
inst_90733,app_3340
inst_94698,app_1099
inst_46181,app_4777
inst_57307,app_6393
inst_75306,app_2126
inst_20144,app_3787
inst_18465,app_4522
inst_57431,app_845
inst_23572,app_6683
inst_61448,app_2029
inst_14371,app_4557
inst_10967,app_7309
inst_42851,app_7887
inst_11440,app_989
inst_14280,app_585
inst_64087,app_6050
inst_18532,app_6455
inst_78593,app_3842
inst_26934,app_3327
inst_25248,app_2650
inst_91743,app_8931
inst_20627,app_7754
inst_30961,app_2700
inst_46058,app_1689
inst_86369,app_4608
inst_14629,app_2831
inst_63028,app_1222
inst_42943,app_9303
inst_81840,app_165
inst_32093,app_6726
inst_295,app_6483
inst_86116,app_1318
inst_10316,app_7558
inst_37659,app_4698
inst_98299,app_6187
inst_76584,app_798
inst_44206,app_7109
inst_6444,app_8139
inst_48473,app_7343
inst_26386,app_1997
inst_85086,app_8822
inst_39729,app_2263
inst_16412,app_1637
inst_94747,app_3327
inst_41212,app_3199
inst_79462,app_8265
inst_91934,app_2622
inst_90813,app_5905
inst_71296,app_4750
inst_50414,app_6381
inst_97157,app_4048
inst_20902,app_7759
inst_40872,app_1437
inst_96072,app_2019
inst_57490,app_6583
inst_65781,app_7524
inst_38881,app_2485
inst_18498,app_2152
inst_52841,app_3286
inst_998,app_960
inst_12420,app_646
inst_74054,app_310
inst_23259,app_8571
inst_86324,app_3252
inst_8644,app_8633
inst_49005,app_1539
inst_20596,app_4262
inst_4809,app_1182
inst_37996,app_1509
inst_97979,app_3007
inst_36551,app_3224
inst_78925,app_147
inst_58127,app_2178
inst_76258,app_4825
inst_30913,app_3283
inst_60711,app_4083
inst_42979,app_3994
inst_9819,app_8324
inst_2466,app_6191
inst_97522,app_4698
inst_93128,app_3021
inst_21297,app_8653
inst_59351,app_9269
inst_5864,app_4421
inst_13290,app_3593
inst_58051,app_6235
inst_28190,app_4061
inst_6178,app_4558
inst_51554,app_5607
inst_99152,app_7135
inst_2245,app_2767
inst_86930,app_5757
inst_83409,app_4512
inst_44524,app_2874
inst_19840,app_5942
inst_49326,app_1579
inst_84988,app_4608
inst_13548,app_5411
inst_84400,app_4694
inst_59595,app_9095
inst_32108,app_9197
inst_11992,app_6659
inst_51597,app_1310
inst_18973,app_8618
inst_81434,app_2000
inst_1324,app_6381
inst_6938,app_1050
inst_82409,app_5660
inst_75633,app_4386
inst_28780,app_396
inst_67408,app_8653
inst_87650,app_1437
inst_71741,app_4825
inst_62282,app_9283
inst_62982,app_238
inst_94710,app_6323
inst_70132,app_5264
inst_24617,app_5481
inst_24296,app_4760
inst_64811,app_2531
inst_55418,app_69
inst_91801,app_4663
inst_21238,app_7980
inst_33217,app_5022
inst_74734,app_4698
inst_86544,app_8444
inst_79247,app_4551
inst_19992,app_4311
inst_42820,app_7928
